title,address,totalScore,categories,location,Jarak_KampusC,Jarak_KampusB,Jarak_KampusA
Bakso & Mie Ayam Cak Nur,"Jl. Raya Mulyosari No.404, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.5,Restoran Bakso Restoran Dim Sum Restoran Mie,"{'lat': -7.2735086, 'lng': 112.7975547}",1.4692127983260035,3.181153704495726,3.773767557308749
Bakso Unyil,"PR55+4R2, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.5,Restoran Bakso,"{'lat': -7.292248, 'lng': 112.809519}",3.704026494403147,5.059337948750658,5.417001258577045
Bakso super urat mbok'e nindi,"no 29b, Jl. Raya Nginden No.29b ll F, RW.01, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.3,Restoran Bakso,"{'lat': -7.3014359, 'lng': 112.7641554}",4.199749584498305,3.3898960977483967,2.8851477730866284
Bakso Cak Nur 1,"Jl. Ngagel Jaya Tengah No.114, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.3,Restoran Bakso,"{'lat': -7.291864, 'lng': 112.7616669}",3.5474338505024274,2.4181845230212615,1.829609716182378
Bakso Cak Mus Airlangga,"Jl. Karang Menjangan No.81, RT.005/RW.07, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,Restoran Bakso Rumah Makan,"{'lat': -7.2704534, 'lng': 112.7605999}",2.6706130460265527,0.9093645291218295,0.640536486579943
Bakso Pak Nan,"Jl. Raya Manyar Tirtoasri No.17, RT.006/RW.04, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,Restoran Bakso,"{'lat': -7.2868198, 'lng': 112.7684323}",2.623566226911499,1.726201912105796,1.3756550230664568
BAKSO SOLMED 168,"Pakuwon City, Ruko San Diego MR2-10, Jl. Kalisari Permai I No.87, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.3,Restoran Bakso,"{'lat': -7.2692533, 'lng': 112.8073758}",2.49063528322043,4.261035027857971,4.900037622758459
Warung Larris San Antonio,"Ruko San Antonio N1, Jl. Kalisari Utara I No.150, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,Restoran,"{'lat': -7.2649354, 'lng': 112.8064728}",2.448553525542887,4.215206500054555,4.894055920095137
Warung Mbak Lies,"Jl. Manyar Sabrangan IV No.1, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116, Indonesia",4.6,Restoran Jawa,"{'lat': -7.2872849, 'lng': 112.763318}",3.0720806118910957,1.8774751048555864,1.310454112872531
Warung Sari Laut Bu Mis Santoso,"Gg. 19 No.22, RW.no 2, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.6,Restoran Seafood,"{'lat': -7.2843193, 'lng': 112.8016624}",2.470189094485885,3.90310371015265,4.332733755786849
Warung Bibik Pojok,"Jl. Raya Menur No.108, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282, Indonesia",4.0,Restoran,"{'lat': -7.2821104, 'lng': 112.7620481}",2.8639244491461633,1.4140653772165446,0.7500162484875107
WARUNG Oemik Ika SURABAYA,"Jl. Manyar Jaya V No.A24, RT.001/RW.08, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.6,Restoran,"{'lat': -7.2976671, 'lng': 112.768663}",3.5831323760772413,2.9319307397136796,2.5323050846179394
Warung Damai,"PQJ8+GQP, Jl. Mojo Kidul, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60286, Indonesia",4.8,Rumah Makan Warung Makanan Kecil,"{'lat': -7.268668, 'lng': 112.766948}",1.9724408811633685,0.35690681060051327,0.8545602553600097
Mie Mapan - Barata Jaya,"Jl. Barata Jaya XIX No.51, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.5,Restoran Mie Restoran China Restoran Jawa Timur Restoran Indonesia,"{'lat': -7.302051, 'lng': 112.7594761}",4.554348579748711,3.5706618829360393,2.983894154407528
Warung Desa,"Jl. Sukodami II No.0, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,Rumah Makan Restoran,"{'lat': -7.2779244, 'lng': 112.7645463}",2.413925204265977,0.8733346972116726,0.2977587150648165
"Warung Prasmanan Soponyono Nasi kotak, Tumpeng, catering kantor dan Prasmanan","Jl. Klampis Ngasem No.47a, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.4,Restoran Prasmanan,"{'lat': -7.287507, 'lng': 112.774347}",2.29126790671757,1.9031649833911952,1.8001236265712681
Warung Mas Ayok,"Jl. Jojoran III No.126, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.4,Restoran Nasi Goreng,"{'lat': -7.2749735, 'lng': 112.7677681}",1.9680181803667485,0.42403618841759766,0.48534475423751017
Warung Abah,"Jl. Keputih Gg. IB No.25, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60123, Indonesia",4.7,Rumah Makan Restoran,"{'lat': -7.2882939, 'lng': 112.7980303}",2.5306690853243827,3.7370218120091856,4.075985210379013
Bakso dan Mie Pitik Barcelona,"Jl. Jojoran I No.79, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,Restoran Bakso Rumah Makan Restoran Mie,"{'lat': -7.272653, 'lng': 112.7660788}",2.090908686227505,0.33574459149868024,0.4330379072482848
Bakso Pak Kumis,"Jl. Pumpungan III No.43-53, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.9,Restoran Bakso,"{'lat': -7.2978049, 'lng': 112.7624743}",3.9787184523809693,3.028674903201153,2.4822958678793796
Bakso Pak Sarjuk,"Jl. Bratang Gede No.151, Ngagelrejo, Kec. Wonokromo, Surabaya, Jawa Timur 60245, Indonesia",4.4,Restoran Bakso,"{'lat': -7.2983287, 'lng': 112.7554751}",4.5382421406436935,3.3455655449472146,2.684718108386123
