title,address,totalScore,categories,location
Mie Mapan - Barata Jaya,"Jl. Barata Jaya XIX No.51, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",4.5,"['Restoran Mie', 'Restoran China', 'Restoran Jawa Timur', 'Restoran Indonesia']","{'lat': -7.302051, 'lng': 112.7594761}"
Warung Desa,"Jl. Sukodami II No.0, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.6,"['Rumah Makan', 'Restoran']","{'lat': -7.2779244, 'lng': 112.7645463}"
"Warung Prasmanan Soponyono Nasi kotak, Tumpeng, catering kantor dan Prasmanan","Jl. Klampis Ngasem No.47a, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",4.4,['Restoran Prasmanan'],"{'lat': -7.287507, 'lng': 112.774347}"
Warung Mas Ayok,"Jl. Jojoran III No.126, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.4,['Restoran Nasi Goreng'],"{'lat': -7.2749735, 'lng': 112.7677681}"
Warung Abah,"Jl. Keputih Gg. IB No.25, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60123, Indonesia",4.7,"['Rumah Makan', 'Restoran']","{'lat': -7.2882939, 'lng': 112.7980303}"
Bakso dan Mie Pitik Barcelona,"Jl. Jojoran I No.79, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",4.7,"['Restoran Bakso', 'Rumah Makan', 'Restoran Mie']","{'lat': -7.272653, 'lng': 112.7660788}"
Bakso Pak Kumis,"Jl. Pumpungan III No.43-53, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60118, Indonesia",4.9,['Restoran Bakso'],"{'lat': -7.2978049, 'lng': 112.7624743}"
Bakso Pak Sarjuk,"Jl. Bratang Gede No.151, Ngagelrejo, Kec. Wonokromo, Surabaya, Jawa Timur 60245, Indonesia",4.4,['Restoran Bakso'],"{'lat': -7.2983287, 'lng': 112.7554751}"
Bakso Rama,"Gg. II A No.9, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.9,['Restoran Bakso'],"{'lat': -7.3062359, 'lng': 112.7979785}"
Bakso Pak LaLa,"PRF3+W6G, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,['Restoran Bakso'],"{'lat': -7.2751842, 'lng': 112.8030762}"
